tinh;huyen;xa;diaban;hoso;m6bma;m6bma1;m6bc3;m6bc4a;m6bc4b;m6bc5;m6bc6
101;1;3;1;13;56;;2;0;1999;2500;1700
101;1;3;1;13;50;;1;0;2000;3500;3000
101;1;3;1;13;20;;1;5;2007;7000;6000
101;1;3;1;13;51;;2;0;2001;800;500
101;1;3;1;13;21;;1;0;2000;700;400
101;1;3;1;13;48;;1;0;2004;2700;2000
101;1;3;1;13;29;;1;0;2003;600;400
101;1;3;1;13;51;;2;0;2001;500;300
101;1;3;1;13;54;;1;0;2000;600;400
101;1;3;1;13;41;;1;0;2003;4500;4000
101;1;3;1;13;53;;1;0;2000;1500;800
101;1;3;1;13;21;;1;0;2004;550;450
101;1;3;1;13;33;;1;0;1999;1800;1000
101;1;3;1;13;57;;1;0;2000;1400;1000
101;1;3;1;14;41;;1;3;2007;3000;2500
101;1;3;1;14;20;;1;0;1995;30000;15000
101;1;3;1;14;61;;1;0;2001;650;450
101;1;3;1;14;34;;1;5;2008;4300;4000
101;1;3;1;14;57;;3;0;1999;3600;2900
101;1;3;1;14;33;;1;0;1998;1700;700
101;1;3;1;14;52;;1;0;2004;1500;1000
101;1;3;1;14;40;;1;0;2003;500;300
101;1;3;1;14;35;;1;0;2001;900;600
101;1;3;1;14;49;;1;0;2003;6200;3500
101;1;3;1;14;29;;1;4;2007;450;400
101;1;3;1;14;56;;3;0;2000;4500;3500
101;1;3;1;14;34;;1;0;2006;4500;3000
101;1;3;1;14;20;;1;0;1999;29000;15000
101;1;3;1;14;46;;1;0;2000;5000;3000
101;1;3;1;14;20;;1;0;1993;15000;7000
101;1;3;1;14;46;;1;0;2006;13000;12000
101;1;3;1;14;54;;1;0;2000;850;600
101;1;3;1;14;41;;2;0;2000;6500;5500
101;1;3;1;14;51;;3;0;2003;900;700
101;1;3;1;14;40;;1;3;2007;700;600
101;1;3;1;14;53;;1;0;2001;1800;1500
101;1;3;1;14;48;;1;0;2003;4800;4000
101;1;3;1;15;40;;1;0;2002;800;500
101;1;3;1;15;41;;1;0;2003;5800;5500
101;1;3;1;15;33;;1;0;2000;1500;1000
101;1;3;1;15;20;;1;0;2005;16000;14000
101;1;3;1;15;34;;2;0;2003;3400;3000
101;1;3;1;15;20;;1;0;2004;30000;20000
101;1;3;1;15;50;;1;0;2004;4000;3200
101;1;3;1;15;53;;1;0;2002;550;300
101;1;3;1;15;43;;1;0;1996;5000;3500
101;1;3;1;15;54;;1;0;2002;1600;1200
101;1;3;1;15;60;;1;9;2007;1400;1200
101;1;3;1;15;56;;1;0;2001;4700;4000
101;1;3;1;15;51;;3;0;2004;1200;900
101;1;3;1;15;29;;1;0;2000;1600;1200
101;1;3;1;15;48;;1;0;2000;4000;3000
101;1;3;1;15;52;;1;0;2000;1500;1000
101;1;9;19;15;60;;1;0;2005;2500;1700
101;1;9;19;15;48;;1;0;2004;4200;2000
101;1;9;19;15;52;;1;0;2003;2500;1500
101;1;9;19;15;41;;1;0;2002;4500;2500
101;1;9;19;15;40;;1;0;2005;700;300
101;1;9;19;15;53;;1;0;2006;1200;700
101;1;9;19;15;50;;1;0;2005;5000;3600
101;1;9;19;15;34;;1;0;2006;1200;500
101;1;9;19;15;20;;1;0;2001;17000;1000
101;1;9;19;15;20;;1;0;2005;12000;7000
101;1;9;19;15;29;;1;0;2004;1200;600
101;1;9;19;15;54;;1;0;2006;700;400
101;1;9;19;19;29;;1;0;2004;1000;500
101;1;9;19;19;48;;1;0;2001;4500;2000
101;1;9;19;19;20;;1;0;2003;17000;10000
101;1;9;19;19;41;;1;0;2000;4200;2500
101;1;9;19;19;50;;1;0;2006;5000;4000
101;1;9;19;19;53;;1;0;2006;1200;700
101;1;9;19;19;60;;1;0;2006;2500;1500
101;1;9;19;19;20;;1;0;1996;25000;10000
101;1;9;19;19;40;;1;0;2005;500;200
101;1;9;19;19;34;;1;0;2006;1500;500
101;1;9;19;19;52;;1;0;2004;2500;1000
101;1;9;19;19;54;;1;0;2005;700;300
101;1;9;19;19;46;;1;0;2005;6000;2000
101;1;9;19;20;48;;1;0;2005;3500;1500
101;1;9;19;20;53;;1;0;2006;1200;700
101;1;9;19;20;56;;1;0;2001;1500;700
101;1;9;19;20;54;;1;0;2006;700;300
101;1;9;19;20;41;;1;0;2004;4200;2000
101;1;9;19;20;34;;2;0;2006;4000;1000
101;1;9;19;20;40;;1;0;2005;700;300
101;1;9;19;20;20;;1;0;2005;18000;10000
101;1;9;19;20;20;;1;0;2000;23000;12000
101;1;15;50;13;43;;1;0;2000;5000;2000
101;1;15;50;13;46;;1;0;2006;5000;3000
101;1;15;50;13;49;;1;0;2006;7000;5000
101;1;15;50;13;51;;1;0;2005;300;150
101;1;15;50;13;20;;1;0;2002;25000;15000
101;1;15;50;13;48;;1;0;2003;4500;2500
101;1;15;50;13;56;;1;0;2001;3000;1000
101;1;15;50;13;52;;1;0;2006;1600;800
101;1;15;50;13;34;;1;0;2003;2500;1000
101;1;15;50;13;50;;1;0;2006;4500;3000
101;1;15;50;13;51;;1;0;2005;250;100
101;1;15;50;13;54;;1;0;2005;800;300
101;1;15;50;13;58;;1;0;2002;5000;2000
101;1;15;50;13;34;;1;0;2006;3000;1500
101;1;15;50;13;41;;1;0;2005;4000;2000
101;1;15;50;13;20;;1;0;2004;26000;15000
101;1;15;50;13;33;;1;0;2006;250;100
101;1;15;50;13;53;;1;0;2002;1700;700
101;1;15;50;14;43;;1;0;2004;5000;2000
101;1;15;50;14;49;;1;0;2006;4000;2000
101;1;15;50;14;52;;1;0;2004;1700;800
101;1;15;50;14;20;;1;0;2002;25000;15000
101;1;15;50;14;51;;1;0;2002;250;100
101;1;15;50;14;48;;1;0;2003;4000;2000
101;1;15;50;14;50;;1;0;2005;4200;2000
101;1;15;50;14;47;;1;0;2006;3000;1500
101;1;15;50;14;61;;1;0;2006;450;200
101;1;15;50;14;33;;1;0;2002;200;100
101;1;15;50;14;46;;1;0;2003;5000;2000
101;1;15;50;14;53;;1;0;2002;1500;500
101;1;15;50;14;41;;1;0;2003;3500;1500
101;1;15;50;14;54;;1;0;2002;700;300
101;1;15;50;14;34;;1;0;2004;3000;1000
101;1;15;50;14;40;;1;0;2000;600;300
101;1;15;50;14;20;;1;0;2000;24000;15000
101;1;15;50;15;60;;1;0;2005;3000;1500
101;1;15;50;15;48;;1;0;2002;4500;2000
101;1;15;50;15;44;;1;0;1999;1000;500
101;1;15;50;15;47;;1;0;2004;3500;2000
