tinh;huyen;xa;diaban;hoso;m7c1;m7c2;m7c3;m7c4;m7c5;m7c6;m7c7;m7c8;m7c9;m7c10;m7c11;m7c12;m7c13;m7c14;m7c15;m7c16;m7c17;m7c18;m7c19;m7c20a;m7c20b;m7c21;m7c22;m7c23;m7c23a;m7c24;m7c241;m7c242;m7c25;m7c251;m7c252;m7c253;m7c254;m7c26;m7c27;m7c27a;m7c28;m7c29;m7c30;m7c31;m7c32;m7c33;m7c34;m7c35;m7c36;m7c37;m7c38;m7c39;m7c391;m7c40;m7c41;m7c42;m7c43;m7c44
101;1;3;1;13;1;60;2;1957;;1;2;;;;;2400000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;840;1;1;1;3720;1;1;108;;4668;2;;;
101;1;3;1;14;1;60;2;1943;;2;2;;;;;2220000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;3000;1;1;108;;3828;1;1;12;4000
101;1;3;1;15;1;36;2;1970;;1;2;;;;;1332000;2;;;;;;1;-1;1970;;2;;;17000;;;0;;;;;1;;;1;1;;1;1000;1;1;1;5000;1;1;72;;23072;2;;;
101;1;9;19;15;1;48;2;2002;2;1;2;;;;;970000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;180;1;1;1;1440;1;1;72;;1692;2;;;
101;1;9;19;19;1;120;2;2000;;1;2;;;;;1500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;180;1;1;1;1680;1;1;108;;1968;1;2;;
101;1;9;19;20;1;50;2;1990;;1;2;;;;;750000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;2;1;;1;180;1;1;1;1440;1;1;120;;1740;2;;;
101;1;15;50;13;1;55;2;2006;2;3;1;3;12000;12;12;1000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;840;1;1;1;3600;1;1;60;;16500;1;1;12;1800
101;1;15;50;14;1;30;2;2002;2;1;2;;;;;850000;2;;;;;;1;6;2002;;2;;;0;;;0;;;;;1;;;1;1;;1;840;1;1;1;1800;1;1;60;;2700;1;1;12;1300
101;1;15;50;15;1;50;2;1998;;1;2;;;;;1200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;2;1;;1;960;1;1;1;4800;1;1;120;;5880;1;1;12;1800
101;1;17;2;13;1;70;2;1983;;1;2;;;;;150000;2;;;;;;2;;;;2;;;10000;;;2000;;;;;1;;;1;1;;1;350;1;1;1;540;1;1;82;;12972;2;;;
101;1;17;2;14;1;60;2;1994;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;300;1;1;1;1200;1;1;108;;1608;1;2;;
101;1;17;2;19;1;60;4;1999;;1;2;;;;;700000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;480;1;1;1;2000;1;1;72;;2552;2;;;
101;1;21;36;13;1;22;2;1973;;1;2;;;;;500000;2;;;;;;2;;;;2;;;7000;;;0;;;;;1;;;1;1;;1;600;1;1;1;1440;1;1;108;;9148;2;;;
101;1;21;36;15;1;15;2;1983;;1;2;;;;;525000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;360;1;1;1;1440;1;1;96;;1896;2;;;
101;1;21;36;19;1;200;2;1989;;1;2;;;;;7000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;1440;1;1;144;;2184;1;1;12;3000
101;1;23;18;13;1;30;2;1989;;1;2;;;;;450000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;370;1;1;1;2040;1;1;96;;2506;1;2;;
101;1;23;18;24;1;30;2;1986;;1;2;;;;;500000;2;;;;;;2;;;;2;;;0;;;400;;;;;1;;;1;1;;1;720;1;1;1;2250;1;1;145;;3515;1;2;;
101;1;23;18;29;1;35;2;2002;2;1;2;;;;;520000;2;;;;;;2;;;;2;;;0;;;300;;;;;1;;;1;1;;1;540;1;1;1;2230;1;1;145;;3215;2;;;
101;3;3;23;13;1;40;2;1990;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;810;1;1;1;2400;1;1;150;;3360;1;2;;
101;3;3;23;15;1;30;4;1986;;1;2;;;;;200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;700;6;1;1;1350;1;1;240;;2290;2;;;
101;3;3;23;19;1;110;2;2000;;1;2;;;;;1575000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;920;1;1;1;3220;1;1;200;;4340;1;2;;
