tinh,hoso,diaban,huyen,xa,m7c32,m7c36,m7c39,elec_water_garbage,matv,m1ac2,m1ac3,age,total_household_income_x,fam_size,household_consumption,DIY,household_consumption2,m5a2c6,m5a2c10,total_food_consumption,m5b1c4,m5b1c5,total_nonfood_consumption,m5b2c2_x,m5b2c3_x,total_annual_consumption_x,m5b2c2_y,m5b2c3_y,total_annual_consumption_y,other_spending,wealth_fixed,total_wealth,log_income,individual_income,total_household_income_y,working_household_size,individual_work_hours,total_household_work_hours,average_work_hours
101,14,1,1,3,720.0,3000.0,108.0,3828.0,1,1,1,64,56468.0,3,3473.3,1146.0,4619.3,36904.7,0.0,36904.7,21586.0,0.0,21586.0,18950.0,0.0,18950.0,18950.0,0.0,18950.0,8150.0,0.0,0.0,10.94142938500409,42351.0,56468.0,2.0,2496.0,4320.0,2160.0
101,15,1,1,3,1000.0,5000.0,72.0,6072.0,1,1,1,61,42351.0,2,2957.7,573.0,3530.7,38741.9,0.0,38741.9,21488.0,0.0,21488.0,16235.0,0.0,16235.0,16235.0,0.0,16235.0,7850.0,0.0,0.0,10.653747312552309,42351.0,42351.0,1.0,2496.0,2496.0,2496.0
101,20,19,1,9,180.0,1440.0,120.0,1740.0,1,1,1,50,47203.0,3,1993.9,0.0,1993.9,22501.7,0.0,22501.7,9280.0,0.0,9280.0,10040.0,0.0,10040.0,10040.0,0.0,10040.0,640.0,0.0,0.0,10.762212728875873,33979.0,47203.0,2.0,2112.0,3952.0,1976.0
101,13,50,1,15,840.0,3600.0,60.0,4500.0,1,1,1,35,163382.0,4,5259.8,0.0,5259.8,51339.0,0.0,51339.0,17447.0,0.0,17447.0,17091.0,0.0,17091.0,17091.0,0.0,17091.0,1800.0,0.0,0.0,12.00384629622135,91855.0,163382.0,2.0,3120.0,5232.0,2616.0
101,14,50,1,15,840.0,1800.0,60.0,2700.0,1,1,1,27,152463.0,3,3567.4,764.0,4331.4,52250.4,0.0,52250.4,17660.0,320.0,17980.0,22031.0,0.0,22031.0,22031.0,0.0,22031.0,2200.0,0.0,0.0,11.934677222641074,75290.0,152463.0,2.0,2112.0,4224.0,2112.0
101,15,50,1,15,960.0,4800.0,120.0,5880.0,1,1,1,54,114443.0,4,4885.4,0.0,4885.4,41726.7,0.0,41726.7,23575.0,0.0,23575.0,18515.0,0.0,18515.0,18515.0,0.0,18515.0,1200.0,0.0,0.0,11.647832161430726,47622.0,114443.0,2.0,2112.0,4224.0,2112.0
101,14,2,1,17,300.0,1200.0,108.0,1608.0,1,1,1,57,38112.0,3,907.9,0.0,907.9,10542.1,0.0,10542.1,2394.0,0.0,2394.0,525.0,0.0,525.0,525.0,0.0,525.0,213.0,0.0,0.0,10.548284472155027,38112.0,38112.0,1.0,1440.0,1440.0,1440.0
101,15,23,3,3,700.0,1350.0,240.0,2290.0,1,1,1,46,33585.0,4,1790.9,172.9,1963.8000000000002,19626.4,0.0,19626.4,7582.0,0.0,7582.0,3488.0,0.0,3488.0,3488.0,0.0,3488.0,3600.0,0.0,0.0,10.421834817700965,21372.0,33585.0,2.0,2688.0,4704.0,2352.0
101,15,9,3,11,940.0,5300.0,180.0,6420.0,1,1,1,57,91591.0,5,2364.5,0.0,2364.5,21110.5,0.0,21110.5,6470.0,0.0,6470.0,9395.0,0.0,9395.0,9395.0,0.0,9395.0,5850.0,0.0,0.0,11.425088292559943,40751.0,91591.0,3.0,2112.0,7104.0,2368.0
101,19,9,3,11,1200.0,4260.0,252.0,5712.0,1,1,1,89,76609.0,7,2725.1,0.0,2725.1,21805.2,0.0,21805.2,7425.0,0.0,7425.0,11910.0,0.0,11910.0,11910.0,0.0,11910.0,2850.0,0.0,0.0,11.246469842299451,28962.0,76609.0,3.0,2112.0,7392.0,2464.0
