idstd2015,id2015,idstd2009,id2009,idstd2005,id2005,a6a,c9b,d1a3,d2,d10,d11,_2015_h8,i2b,i4b,n2a,n2b,n2i,n2e,n2f,n5a,n5b,_2015_h8,l1,k1c,k2c,main_activity_sales,total_purchases_2015,purchased_on_credit
599613.0,10697.0,,,,,3.0,,100.0,623000000000.0,1.0,1.0,0.0,,,6800000000.0,900000000.0,,586000000000.0,1200000000.0,0.0,0.0,0.0,180.0,30.0,30.0,623000000000.0,0.0,0.0
599614.0,10698.0,,,,,3.0,,95.0,98000000000.0,0.0,0.0,1200000000.0,1000000000.0,,11000000000.0,1200000000.0,,35000000000.0,800000000.0,2500000000.0,0.0,1200000000.0,140.0,80.0,80.0,93100000000.0,3700000000.0,2960000000.0
599615.0,10700.0,,,,,2.0,,6.0,40000000000.0,0.0,0.0,10000000.0,72000000.0,,4500000000.0,2000000000.0,8500000000.0,,,200000000.0,0.0,10000000.0,50.0,0.0,80.0,2400000000.0,210000000.0,0.0
599616.0,10702.0,,,,,2.0,,100.0,63000000000.0,0.0,0.0,1000000000.0,3500000000.0,,8000000000.0,1400000000.0,,37000000000.0,2000000000.0,8000000000.0,0.0,1000000000.0,110.0,90.0,100.0,63000000000.0,9000000000.0,8100000000.0
599617.0,10705.0,,,,,3.0,,80.0,10000000000.0,0.0,0.0,100000000.0,200000000.0,,4000000000.0,500000000.0,,4000000000.0,-9.0,0.0,0.0,100000000.0,60.0,0.0,20.0,8000000000.0,100000000.0,0.0
599619.0,10721.0,,,,,2.0,,100.0,225400000000.0,1.0,1.0,0.0,,,4465000000.0,623000000.0,,101600000000.0,880000000.0,0.0,0.0,0.0,72.0,50.0,50.0,225400000000.0,0.0,0.0
599620.0,10724.0,,,,,3.0,,70.0,25000000000.0,-7.0,0.0,75000000.0,500000000.0,,7500000000.0,360000000.0,,12500000000.0,5000000000.0,10000000000.0,0.0,75000000.0,311.0,100.0,0.0,17500000000.0,10075000000.0,10075000000.0
599622.0,10726.0,,,,,3.0,,70.0,70000000000.0,0.0,0.0,0.0,300000000.0,,15000000000.0,3000000000.0,,-9.0,-9.0,0.0,0.0,0.0,300.0,-9.0,0.0,49000000000.0,0.0,-0.0
599623.0,10727.0,,,,,3.0,,70.0,100000000000.0,0.0,0.0,0.0,,,14000000000.0,100000000.0,70000000000.0,,,500000000.0,0.0,0.0,131.0,30.0,30.0,70000000000.0,500000000.0,150000000.0
599626.0,10733.0,,,,,2.0,,40.0,6000000000.0,0.0,2.0,10000000.0,,,3600000000.0,72000000.0,,2000000000.0,80000000.0,400000000.0,0.0,10000000.0,65.0,80.0,70.0,2400000000.0,410000000.0,328000000.0
599627.0,10734.0,,,,,3.0,,70.0,350000000000.0,1.0,1.0,700000000.0,500000000.0,350000000.0,45000000000.0,600000000.0,,250000000000.0,10000000000.0,30000000000.0,500000000.0,700000000.0,350.0,60.0,80.0,245000000000.0,31200000000.0,18720000000.0
599628.0,10736.0,,,,,3.0,,70.0,25000000000.0,0.0,0.0,300000000.0,400000000.0,,6500000000.0,840000000.0,,3000000000.0,750000000.0,400000000.0,-9.0,300000000.0,120.0,20.0,80.0,17500000000.0,699999991.0,139999998.20000002
599629.0,10737.0,,,,,3.0,,100.0,310000000000.0,0.0,0.0,550000000.0,650000000.0,,65100000000.0,900000000.0,,232900000000.0,21000000000.0,1200000000.0,570000000.0,550000000.0,705.0,0.0,70.0,310000000000.0,2320000000.0,0.0
599630.0,10740.0,,,,,3.0,,100.0,9500000000.0,0.0,0.0,0.0,,,-9.0,2000000000.0,,-9.0,600000000.0,0.0,0.0,0.0,130.0,100.0,100.0,9500000000.0,0.0,0.0
599631.0,10744.0,,,,,3.0,,60.0,102000000000.0,0.0,0.0,400000000.0,200000000.0,,4000000000.0,500000000.0,,80000000000.0,200000000.0,300000000.0,0.0,400000000.0,120.0,10.0,10.0,61200000000.0,700000000.0,70000000.0
599633.0,10752.0,,,,,3.0,,90.0,3500000000.0,0.0,0.0,0.0,120000000.0,,1500000000.0,50000000.0,,2000000000.0,300000000.0,500000000.0,0.0,0.0,84.0,30.0,50.0,3150000000.0,500000000.0,150000000.0
599634.0,10753.0,,,,,3.0,300000000.0,100.0,250000000000.0,-7.0,0.0,0.0,,100000000.0,210000000000.0,3000000000.0,,35000000000.0,10000000000.0,20000000000.0,10000000000.0,0.0,3000.0,100.0,100.0,250000000000.0,30000000000.0,30000000000.0
599636.0,10766.0,,,,,3.0,,75.0,52000000000.0,0.0,0.0,0.0,150000000.0,,9670000000.0,567000000.0,,16800000000.0,209000000.0,800000000.0,0.0,0.0,120.0,50.0,5.0,39000000000.0,800000000.0,400000000.0
599637.0,10767.0,,,,,3.0,,60.0,114200000000.0,0.0,0.0,500000000.0,1000000000.0,,26960000000.0,-9.0,,23900000000.0,3105000000.0,0.0,0.0,500000000.0,250.0,50.0,0.0,68520000000.0,500000000.0,250000000.0
599639.0,10771.0,,,,,3.0,,100.0,280000000000.0,0.0,0.0,2000000000.0,1000000000.0,,-9.0,-9.0,,-9.0,-9.0,15000000000.0,0.0,2000000000.0,273.0,100.0,57.0,280000000000.0,17000000000.0,17000000000.0
599640.0,10773.0,,,,,3.0,,100.0,129000000000.0,0.0,0.0,0.0,,,65000000000.0,2600000000.0,,60000000000.0,3000000000.0,8800000000.0,0.0,0.0,1060.0,85.0,100.0,129000000000.0,8800000000.0,7480000000.0
599641.0,10780.0,,,,,3.0,,83.0,275000000000.0,0.0,0.0,5000000000.0,700000000.0,,33000000000.0,1000000000.0,,144000000000.0,200000000.0,332000000.0,0.0,5000000000.0,347.0,100.0,30.0,228250000000.0,5332000000.0,5332000000.0
599643.0,10784.0,,,,,2.0,,100.0,25000000000.0,0.0,0.0,0.0,125000000.0,,2500000000.0,550000000.0,,12000000000.0,2000000000.0,10000000000.0,15000000000.0,0.0,80.0,100.0,100.0,25000000000.0,25000000000.0,25000000000.0
599644.0,10790.0,,,,,3.0,,100.0,9500000000.0,0.0,0.0,0.0,174000000.0,,5700000000.0,324000000.0,,1900000000.0,475000000.0,80000000.0,0.0,0.0,120.0,10.0,0.0,9500000000.0,80000000.0,8000000.0
599645.0,10792.0,,,,,3.0,,100.0,110000000000.0,0.0,0.0,0.0,600000000.0,,70000000000.0,1000000000.0,,1200000000.0,-9.0,0.0,0.0,0.0,167.0,0.0,0.0,110000000000.0,0.0,0.0
599646.0,10796.0,,,,,3.0,,100.0,30000000000.0,0.0,0.0,0.0,200000000.0,,6500000000.0,1346000000.0,,10320000000.0,-9.0,3000000000.0,0.0,0.0,300.0,0.0,20.0,30000000000.0,3000000000.0,0.0
599648.0,10806.0,,,,,3.0,,100.0,75000000000.0,0.0,0.0,0.0,96000000.0,,20000000000.0,7000000.0,,1500000000.0,-9.0,6000000000.0,0.0,0.0,130.0,20.0,0.0,75000000000.0,6000000000.0,1200000000.0
599650.0,10813.0,,,,,2.0,,100.0,15000000000.0,0.0,0.0,50000000.0,,,1800000000.0,1200000000.0,,7000000000.0,1000000000.0,1500000000.0,0.0,50000000.0,50.0,60.0,60.0,15000000000.0,1550000000.0,930000000.0
599651.0,10814.0,,,,,2.0,,100.0,20000000000.0,0.0,0.0,0.0,,,1600000000.0,200000000.0,,16000000000.0,1600000000.0,0.0,0.0,0.0,50.0,100.0,100.0,20000000000.0,0.0,0.0
599652.0,10815.0,,,,,3.0,-9.0,40.0,20000000000.0,0.0,0.0,0.0,420000000.0,,9600000000.0,1300000000.0,7000000000.0,,,0.0,0.0,0.0,145.0,0.0,0.0,8000000000.0,0.0,0.0
599654.0,10820.0,,,,,3.0,,100.0,145000000000.0,0.0,0.0,0.0,350000000.0,,18400000000.0,-9.0,,3000000000.0,500000000.0,3900000000.0,0.0,0.0,198.0,100.0,100.0,145000000000.0,3900000000.0,3900000000.0
