idstd2015,id2015,idstd2009,id2009,idstd2005,id2005,a6a,c9b,d1a3,d2,d10,d11,_2015_h8,i2b,i4b,n2a,n2b,n2i,n2e,n2f,n5a,n5b,_2015_h8,l1,k1c,k2c,main_activity_sales,total_purchases_2015,purchased_on_credit
599618.0,10709.0,,,,,1.0,,100.0,-9.0,5.0,5.0,-9.0,,,-9.0,-9.0,,-9.0,-9.0,100000000.0,-9.0,-9.0,22.0,50.0,20.0,-9.0,99999982.0,49999991.0
599621.0,10725.0,,,,,2.0,,50.0,6000000000.0,0.0,0.0,300000000.0,30000000.0,,1600000000.0,36000000.0,,1350000000.0,1350000000.0,0.0,0.0,300000000.0,30.0,0.0,0.0,3000000000.0,300000000.0,0.0
599624.0,10728.0,,,,,3.0,,100.0,20000000000.0,0.0,0.0,0.0,,,145000000.0,60000000.0,,250000000.0,90000000.0,0.0,0.0,0.0,6.0,0.0,0.0,20000000000.0,0.0,0.0
599625.0,10732.0,,,,,2.0,,100.0,102000000000.0,0.0,0.0,0.0,,,3700000000.0,500000000.0,,80000000000.0,600000000.0,0.0,0.0,0.0,18.0,50.0,50.0,102000000000.0,0.0,0.0
599632.0,10749.0,,,,,1.0,,70.0,5000000000.0,0.0,2.0,0.0,50000000.0,,350000000.0,60000000.0,-9.0,,,300000000.0,0.0,0.0,4.0,50.0,0.0,3500000000.0,300000000.0,150000000.0
599635.0,10757.0,,,,,1.0,,80.0,1700000000.0,0.0,0.0,25000000.0,4000000.0,,500000000.0,20000000.0,,1000000000.0,-9.0,0.0,0.0,25000000.0,35.0,100.0,70.0,1360000000.0,25000000.0,25000000.0
599638.0,10768.0,,,,,3.0,,100.0,80000000000.0,0.0,0.0,0.0,350000000.0,,700000000.0,120000000.0,,65000000000.0,70000000.0,0.0,0.0,0.0,12.0,20.0,80.0,80000000000.0,0.0,0.0
599642.0,10783.0,,,,,2.0,,50.0,7000000000.0,0.0,0.0,0.0,,,874000000.0,30000000.0,,-9.0,-9.0,0.0,0.0,0.0,24.0,0.0,32.0,3500000000.0,0.0,0.0
599647.0,10801.0,,,,,2.0,,100.0,8000000000.0,0.0,0.0,0.0,1800000000.0,,1000000000.0,700000000.0,,1200000000.0,100000000.0,300000000.0,0.0,0.0,20.0,70.0,70.0,8000000000.0,300000000.0,210000000.0
599649.0,10809.0,,,,,3.0,,100.0,2000000000.0,0.0,0.0,0.0,300000000.0,,700000000.0,120000000.0,-9.0,,,0.0,0.0,0.0,11.0,100.0,50.0,2000000000.0,0.0,0.0
599653.0,10818.0,,,,,2.0,,90.0,8842000000.0,0.0,5.0,-9.0,,,1200000000.0,50000000.0,,5000000000.0,-9.0,0.0,0.0,-9.0,30.0,50.0,50.0,7957800000.0,-9.0,-4.5
599657.0,10834.0,,,,,3.0,,80.0,2000000000.0,0.0,0.0,0.0,,,800000000.0,30000000.0,-9.0,,,0.0,0.0,0.0,10.0,20.0,30.0,1600000000.0,0.0,0.0
599662.0,10849.0,,,,,2.0,-9.0,70.0,2300000000.0,0.0,0.0,30000000.0,50000000.0,,500000000.0,100000000.0,,540000000.0,200000000.0,50000000.0,0.0,30000000.0,30.0,0.0,30.0,1610000000.0,80000000.0,0.0
599663.0,10850.0,,,,,2.0,,80.0,4200000000.0,0.0,0.0,0.0,130000000.0,,810000000.0,72000000.0,,2800000000.0,36000000.0,0.0,0.0,0.0,30.0,40.0,40.0,3360000000.0,0.0,0.0
599665.0,10853.0,,,,,3.0,,100.0,7000000000.0,0.0,2.0,0.0,420000000.0,,650000000.0,12000000.0,,2000000000.0,500000000.0,1800000000.0,0.0,0.0,13.0,0.0,50.0,7000000000.0,1800000000.0,0.0
599666.0,10858.0,,,,,2.0,,60.0,33635000000.0,0.0,0.0,0.0,36000000.0,,800000000.0,1300000000.0,,-9.0,10000000000.0,0.0,0.0,0.0,25.0,0.0,45.0,20181000000.0,0.0,0.0
599667.0,10860.0,,,,,2.0,1000000.0,70.0,10000000000.0,0.0,1.0,100000000.0,50000000.0,,1800000000.0,50000000.0,-9.0,,,3400000000.0,0.0,100000000.0,30.0,30.0,20.0,7000000000.0,3500000000.0,1050000000.0
599668.0,10864.0,,,,,1.0,,60.0,800000000.0,-9.0,0.0,0.0,,,300000000.0,15000000.0,,180000000.0,50000000.0,0.0,0.0,0.0,15.0,-9.0,-9.0,480000000.0,0.0,-0.0
599669.0,10870.0,,,,,2.0,,80.0,14000000000.0,0.0,0.0,0.0,,,1000000000.0,100000000.0,,4000000000.0,120000000.0,0.0,0.0,0.0,20.0,100.0,35.0,11200000000.0,0.0,0.0
599672.0,10877.0,,,,,3.0,,99.0,9000000000.0,0.0,0.0,0.0,180000000.0,,1500000000.0,360000000.0,,5000000000.0,12000000.0,0.0,0.0,0.0,26.0,30.0,0.0,8910000000.0,0.0,0.0
599677.0,10902.0,,,,,1.0,,90.0,4500000000.0,5.0,0.0,50000000.0,360000000.0,,200000000.0,60000000.0,,500000000.0,24000000.0,0.0,0.0,50000000.0,10.0,50.0,30.0,4050000000.0,50000000.0,25000000.0
599681.0,10910.0,,,,,2.0,,70.0,110000000000.0,0.0,0.0,100000000.0,,,700000000.0,190000000.0,,8500000000.0,500000000.0,1500000000.0,0.0,100000000.0,22.0,30.0,20.0,77000000000.0,1600000000.0,480000000.0
599682.0,10911.0,,,,,2.0,,100.0,4500000000.0,0.0,0.0,0.0,,,600000000.0,36000000.0,,3000000000.0,30000000.0,0.0,0.0,0.0,10.0,70.0,70.0,4500000000.0,0.0,0.0
599684.0,10915.0,,,,,2.0,,100.0,500000000.0,0.0,0.0,0.0,,,120000000.0,1000000.0,300000000.0,,,0.0,0.0,0.0,3.0,70.0,70.0,500000000.0,0.0,0.0
599687.0,10919.0,,,,,2.0,,100.0,10000000000.0,0.0,0.0,0.0,60000000.0,,600000000.0,1100000000.0,,-9.0,-9.0,0.0,0.0,0.0,15.0,0.0,0.0,10000000000.0,0.0,0.0
599689.0,10927.0,,,,,1.0,,70.0,56000000000.0,0.0,0.0,0.0,,,1000000000.0,30000000.0,1100000000.0,,,0.0,0.0,0.0,23.0,0.0,30.0,39200000000.0,0.0,0.0
599697.0,10959.0,,,,,1.0,,98.0,156000000000.0,0.0,0.0,0.0,,,1500000000.0,144000000.0,150000000000.0,,,0.0,0.0,0.0,26.0,20.0,20.0,152880000000.0,0.0,0.0
599698.0,10961.0,,,,,1.0,,100.0,1300000000.0,0.0,0.0,0.0,,,800000000.0,240000000.0,,200000000.0,150000000.0,0.0,0.0,0.0,12.0,30.0,-9.0,1300000000.0,0.0,0.0
599699.0,10964.0,,,,,2.0,,60.0,87260000000.0,0.0,0.0,0.0,,,2000000000.0,50000000.0,,80000000.0,30000000.0,0.0,0.0,0.0,30.0,70.0,70.0,52356000000.0,0.0,0.0
599703.0,10970.0,,,,,2.0,,100.0,130000000000.0,0.0,1.0,0.0,,,2500000000.0,500000000.0,,100000000000.0,1000000000.0,0.0,0.0,0.0,30.0,50.0,50.0,130000000000.0,0.0,0.0
599704.0,10971.0,,,,,2.0,,100.0,7200000000.0,0.0,0.0,0.0,,,1800000000.0,84000000.0,,5300000000.0,1200000000.0,0.0,0.0,0.0,35.0,80.0,100.0,7200000000.0,0.0,0.0
599710.0,10986.0,,,,,1.0,,60.0,5000000000.0,0.0,0.0,0.0,,,1100000000.0,2000000000.0,,5000000.0,200000000.0,0.0,0.0,0.0,15.0,50.0,0.0,3000000000.0,0.0,0.0
599711.0,10989.0,,,,,2.0,,100.0,20000000000.0,0.0,0.0,0.0,,,1000000000.0,25000000.0,,-9.0,-9.0,0.0,0.0,0.0,20.0,50.0,50.0,20000000000.0,0.0,0.0
599716.0,11006.0,,,,,2.0,,60.0,112600000000.0,0.0,0.0,0.0,,,300000000.0,60000000.0,,55000000000.0,20000000.0,0.0,0.0,0.0,20.0,50.0,20.0,67560000000.0,0.0,0.0
599719.0,11027.0,,,,,1.0,30000000.0,100.0,188000000000.0,0.0,4.0,4000000000.0,2500000000.0,,12000000000.0,900000000.0,,131000000000.0,900000000.0,2000000000.0,0.0,4000000000.0,114.0,30.0,60.0,188000000000.0,6000000000.0,1800000000.0
599725.0,11036.0,,,,,1.0,,70.0,4000000000.0,0.0,0.0,0.0,,,1200000000.0,60000000.0,,2800000000.0,60000000.0,150000000.0,0.0,0.0,19.0,0.0,50.0,2800000000.0,150000000.0,0.0
599726.0,11037.0,,,,,1.0,,100.0,10000000000.0,0.0,0.0,0.0,,,2500000000.0,200000000.0,,4000000000.0,100000000.0,0.0,0.0,0.0,32.0,0.0,70.0,10000000000.0,0.0,0.0
599727.0,11046.0,,,,,1.0,,100.0,7000000000.0,0.0,0.0,0.0,,,400000000.0,80000000.0,-9.0,,,0.0,0.0,0.0,5.0,50.0,50.0,7000000000.0,0.0,0.0
599435.0,10007.0,,,,,2.0,,80.0,60000000000.0,0.0,0.0,0.0,-9.0,,-9.0,-9.0,,-9.0,-9.0,0.0,0.0,0.0,23.0,60.0,100.0,48000000000.0,0.0,0.0
599438.0,10015.0,,,,,1.0,,80.0,3500000000.0,0.0,2.0,0.0,,,840000000.0,-9.0,,120000000.0,-9.0,0.0,0.0,0.0,16.0,100.0,60.0,2800000000.0,0.0,0.0
599439.0,10019.0,,,,,1.0,,100.0,25000000000.0,0.0,0.0,0.0,,,300000000.0,24000000.0,16000.0,,,0.0,0.0,0.0,15.0,30.0,30.0,25000000000.0,0.0,0.0
599440.0,10021.0,,,,,2.0,-9.0,100.0,1100000000.0,0.0,5.0,0.0,,,-9.0,50000000.0,,-9.0,-9.0,0.0,0.0,0.0,20.0,50.0,-9.0,1100000000.0,0.0,0.0
599441.0,10022.0,,,,,1.0,,90.0,4500000000.0,0.0,1.0,300000000.0,500000000.0,,950000000.0,45000000.0,,3200000000.0,0.0,600000000.0,0.0,300000000.0,15.0,0.0,40.0,4050000000.0,900000000.0,0.0
599442.0,10030.0,,,,,2.0,,100.0,18500000000.0,0.0,40.0,0.0,,,2300000000.0,50000000.0,-9.0,,,2000000000.0,0.0,0.0,19.0,50.0,0.0,18500000000.0,2000000000.0,1000000000.0
599444.0,10038.0,,,,,2.0,,80.0,60000000000.0,0.0,0.0,0.0,,,6000000000.0,36000000.0,-9.0,,,0.0,0.0,0.0,19.0,65.0,70.0,48000000000.0,0.0,0.0
599446.0,10044.0,,,,,2.0,,80.0,60000000000.0,0.0,0.0,0.0,,,-9.0,-9.0,,-9.0,-9.0,0.0,0.0,0.0,23.0,60.0,100.0,48000000000.0,0.0,0.0
599447.0,10053.0,,,,,1.0,,50.0,5000000000.0,0.0,1.0,0.0,,,500000000.0,600000000.0,,2000000000.0,500000000.0,0.0,0.0,0.0,12.0,50.0,80.0,2500000000.0,0.0,0.0
599450.0,10063.0,,,,,2.0,,100.0,-9.0,0.0,0.0,0.0,,,-9.0,-9.0,-9.0,,,0.0,0.0,0.0,6.0,-9.0,-9.0,-9.0,0.0,-0.0
599451.0,10068.0,,,,,2.0,,80.0,5500000000.0,5.0,0.0,0.0,50000000.0,,1000000000.0,50000000.0,,2000000000.0,-9.0,0.0,1200000000.0,0.0,10.0,70.0,80.0,4400000000.0,1200000000.0,840000000.0
599452.0,10072.0,,,,,1.0,,40.0,8000000000.0,3.0,0.0,0.0,,,800000000.0,5000000.0,,70000000.0,5000000.0,1000000000.0,0.0,0.0,5.0,70.0,70.0,3200000000.0,1000000000.0,700000000.0
599453.0,10073.0,,,,,1.0,,-9.0,1200000000.0,0.0,0.0,0.0,1000000.0,,530000000.0,24000000.0,-9.0,,,0.0,0.0,0.0,6.0,70.0,50.0,-108000000.0,0.0,0.0
599454.0,10077.0,,,,,2.0,,80.0,60000000000.0,0.0,0.0,0.0,,,-9.0,-9.0,,-9.0,-9.0,0.0,0.0,0.0,23.0,60.0,100.0,48000000000.0,0.0,0.0
599455.0,10079.0,,,,,2.0,0.0,60.0,6000000000.0,0.0,6.0,0.0,50000000.0,,500000000.0,18000000.0,-9.0,,,0.0,0.0,0.0,6.0,60.0,20.0,3600000000.0,0.0,0.0
599456.0,10081.0,,,,,1.0,,80.0,3600000000.0,0.0,0.0,0.0,,,600000000.0,50000000.0,,-9.0,30000000.0,1000000000.0,0.0,0.0,13.0,20.0,50.0,2880000000.0,1000000000.0,200000000.0
599458.0,10109.0,,,,,2.0,,70.0,170000000000.0,0.0,0.0,0.0,,,2000000000.0,-9.0,-9.0,,,0.0,0.0,0.0,15.0,80.0,80.0,119000000000.0,0.0,0.0
599459.0,10110.0,,,,,1.0,,70.0,3968000000.0,0.0,0.0,0.0,50000000.0,,3726000000.0,144000000.0,,-9.0,-9.0,0.0,0.0,0.0,50.0,0.0,50.0,2777600000.0,0.0,0.0
599461.0,10112.0,,,,,1.0,,60.0,17000000000.0,0.0,0.0,0.0,,,3700000000.0,2000000000.0,,6000000000.0,2000000000.0,700000000.0,10000000000.0,0.0,260.0,0.0,100.0,10200000000.0,10700000000.0,0.0
599462.0,10115.0,,,,,2.0,-9.0,100.0,2000000000.0,0.0,1.0,0.0,,,500000000.0,-9.0,,-9.0,-9.0,700000000.0,0.0,0.0,12.0,100.0,80.0,2000000000.0,700000000.0,700000000.0
599463.0,10124.0,,,,,1.0,,100.0,3000000000.0,0.0,0.0,0.0,,,490000000.0,200000000.0,,1800000000.0,200000000.0,0.0,0.0,0.0,25.0,0.0,0.0,3000000000.0,0.0,0.0
599465.0,10126.0,,,,,1.0,,100.0,20000000000.0,0.0,0.0,0.0,,,960000000.0,24000000.0,,9600000000.0,-9.0,0.0,8500000000.0,0.0,15.0,0.0,0.0,20000000000.0,8500000000.0,0.0
599466.0,10127.0,,,,,2.0,,50.0,20000000000.0,0.0,15.0,0.0,,,2100000000.0,54000000.0,,801000000.0,-9.0,800000000.0,0.0,0.0,20.0,0.0,0.0,10000000000.0,800000000.0,0.0
599468.0,10129.0,,,,,1.0,,100.0,2000000000.0,0.0,0.0,0.0,60000000.0,,600000000.0,120000000.0,,1000000000.0,60000000.0,0.0,0.0,0.0,16.0,10.0,50.0,2000000000.0,0.0,0.0
599469.0,10131.0,,,,,2.0,,100.0,5000000000.0,0.0,0.0,0.0,,,-9.0,-9.0,,4000000000.0,50000000.0,500000000.0,0.0,0.0,25.0,50.0,50.0,5000000000.0,500000000.0,250000000.0
599470.0,10141.0,,,,,1.0,,80.0,14000000000.0,0.0,1.0,80000000.0,28000000.0,,750000000.0,36000000.0,786000000.0,,,4000000000.0,6000000000.0,80000000.0,20.0,60.0,70.0,11200000000.0,10080000000.0,6048000000.0
599472.0,10144.0,,,,,2.0,,60.0,36000000000.0,0.0,0.0,300000000.0,200000000.0,,2000000000.0,84000000.0,8000.0,,,0.0,0.0,300000000.0,33.0,99.0,-9.0,21600000000.0,300000000.0,297000000.0
599473.0,10151.0,,,,,1.0,,100.0,9000000000.0,0.0,0.0,0.0,,,1200000000.0,-9.0,,-9.0,-9.0,3000000000.0,0.0,0.0,20.0,30.0,10.0,9000000000.0,3000000000.0,900000000.0
599474.0,10152.0,,,,,3.0,,100.0,11000000000.0,0.0,0.0,0.0,,,1000000000.0,100000000.0,-9.0,,,0.0,0.0,0.0,13.0,0.0,70.0,11000000000.0,0.0,0.0
599476.0,10168.0,,,,,1.0,,100.0,1800000000.0,0.0,1.0,0.0,840000000.0,,1200000000.0,130000000.0,,120000000.0,12000000.0,0.0,0.0,0.0,10.0,0.0,100.0,1800000000.0,0.0,0.0
599479.0,10180.0,,,,,1.0,,100.0,2000000000.0,0.0,0.0,0.0,50000000.0,,-9.0,-9.0,-9.0,,,0.0,0.0,0.0,7.0,90.0,20.0,2000000000.0,0.0,0.0
599480.0,10183.0,,,,,2.0,,100.0,1800000000.0,0.0,0.0,0.0,,,500000000.0,300000000.0,-9.0,,,0.0,0.0,0.0,11.0,0.0,100.0,1800000000.0,0.0,0.0
599482.0,10185.0,,,,,1.0,,100.0,50000000.0,0.0,0.0,0.0,,,8000000.0,6000000.0,-9.0,,,0.0,0.0,0.0,4.0,0.0,0.0,50000000.0,0.0,0.0
599484.0,10197.0,,,,,2.0,,100.0,7000000000.0,0.0,0.0,0.0,,,600000000.0,160000000.0,5600000000.0,,,0.0,0.0,0.0,15.0,0.0,30.0,7000000000.0,0.0,0.0
599487.0,10209.0,,,,,1.0,,-9.0,7000000000.0,0.0,2.0,0.0,,,-9.0,-9.0,-9.0,,,0.0,0.0,0.0,5.0,70.0,90.0,-630000000.0,0.0,0.0
599495.0,10234.0,,,,,3.0,,70.0,6000000000.0,0.0,0.0,0.0,50000000.0,,600000000.0,5000000.0,,100000000.0,470000000.0,0.0,0.0,0.0,6.0,80.0,80.0,4200000000.0,0.0,0.0
599500.0,10256.0,,,,,2.0,10000000.0,100.0,20000000000.0,0.0,0.0,0.0,130000000.0,,1500000000.0,360000000.0,,4800000000.0,-9.0,800000000.0,0.0,0.0,21.0,10.0,30.0,20000000000.0,800000000.0,80000000.0
599501.0,10257.0,,,,,2.0,20000000.0,100.0,12000000000.0,0.0,0.0,0.0,48000000.0,,1800000000.0,550000000.0,,1000000000.0,300000000.0,0.0,0.0,0.0,31.0,90.0,90.0,12000000000.0,0.0,0.0
599502.0,10261.0,,,,,2.0,,100.0,7000000000.0,0.0,0.0,0.0,,,5100000000.0,60000000.0,-9.0,,,0.0,0.0,0.0,12.0,50.0,80.0,7000000000.0,0.0,0.0
599503.0,10276.0,,,,,2.0,1000000000.0,90.0,25000000000.0,0.0,0.0,0.0,,,580000000.0,120000000.0,,15000000000.0,120000000.0,0.0,0.0,0.0,30.0,20.0,50.0,22500000000.0,0.0,0.0
599504.0,10278.0,,,,,2.0,,100.0,28810000000.0,0.0,0.0,0.0,,,1190000000.0,560000000.0,,1468000000.0,0.0,500000000.0,0.0,0.0,22.0,100.0,100.0,28810000000.0,500000000.0,500000000.0
599505.0,10284.0,,,,,1.0,,100.0,8346000000.0,0.0,3.0,0.0,,,1723000000.0,9000000.0,,5320000000.0,50000000.0,0.0,0.0,0.0,15.0,70.0,30.0,8346000000.0,0.0,0.0
599506.0,10285.0,,,,,1.0,,100.0,3944000000.0,0.0,0.0,50000000.0,,,1350000000.0,400000000.0,,2045000000.0,0.0,1900000000.0,0.0,50000000.0,10.0,100.0,100.0,3944000000.0,1950000000.0,1950000000.0
599507.0,10288.0,,,,,2.0,,100.0,6750000000.0,0.0,0.0,0.0,480000000.0,,384000000.0,-9.0,,-9.0,2818000000.0,100000000.0,0.0,0.0,19.0,0.0,100.0,6750000000.0,100000000.0,0.0
599508.0,10290.0,,,,,1.0,,100.0,101000000000.0,0.0,0.0,0.0,,,890000000.0,300000000.0,-9.0,,,0.0,0.0,0.0,6.0,50.0,50.0,101000000000.0,0.0,0.0
599511.0,10299.0,,,,,1.0,,100.0,210000000000.0,0.0,5.0,50000000.0,58000000.0,,3000000000.0,120000000.0,150000.0,,,2000000000.0,0.0,50000000.0,80.0,0.0,0.0,210000000000.0,2050000000.0,0.0
599512.0,10300.0,,,,,2.0,,80.0,11000000000.0,0.0,1.0,30000000.0,,,2000000000.0,80000000.0,7500.0,,,600000000.0,0.0,30000000.0,30.0,90.0,90.0,8800000000.0,630000000.0,567000000.0
599513.0,10305.0,,,,,1.0,,30.0,443000000.0,5.0,5.0,0.0,,,179000000.0,4000000.0,322.0,,,50000000.0,0.0,0.0,11.0,100.0,100.0,132900000.0,50000000.0,50000000.0
599514.0,10309.0,,,,,1.0,60000000.0,100.0,4000000000.0,0.0,10.0,0.0,,,355000000.0,7000000.0,2665.0,,,0.0,0.0,0.0,7.0,20.0,40.0,4000000000.0,0.0,0.0
599515.0,10310.0,,,,,1.0,,100.0,95430000000.0,0.0,3.0,-9.0,,,256000000.0,48000000.0,,-9.0,-9.0,500000000.0,1750000000.0,-9.0,12.0,100.0,0.0,95430000000.0,2249999991.0,2249999991.0
599517.0,10318.0,,,,,2.0,,80.0,7000000000.0,0.0,10.0,0.0,20000000.0,50000000.0,1800000000.0,21000000.0,,2400000000.0,42000000.0,150000000.0,0.0,0.0,30.0,100.0,50.0,5600000000.0,150000000.0,150000000.0
599518.0,10319.0,,,,,2.0,,90.0,5320000000.0,0.0,0.0,0.0,,,700000000.0,120000000.0,,4000000000.0,-9.0,0.0,0.0,0.0,16.0,100.0,0.0,4788000000.0,0.0,0.0
599519.0,10320.0,,,,,2.0,,90.0,7810000000.0,0.0,0.0,5000000.0,,,90000000.0,4000000.0,,7596000000.0,0.0,50000000.0,0.0,5000000.0,15.0,70.0,70.0,7029000000.0,55000000.0,38500000.0
599520.0,10323.0,,,,,1.0,,90.0,8000000000.0,0.0,2.0,20000000.0,,,840000000.0,30000000.0,,8000000000.0,20000000.0,400000000.0,0.0,20000000.0,11.0,100.0,100.0,7200000000.0,420000000.0,420000000.0
599521.0,10324.0,,,,,1.0,,85.0,24150000000.0,0.0,2.0,250000000.0,120000000.0,,1900000000.0,85000000.0,,17560000000.0,180000000.0,1500000000.0,0.0,250000000.0,30.0,50.0,70.0,20527500000.0,1750000000.0,875000000.0
599522.0,10325.0,,,,,2.0,,100.0,3800000000.0,0.0,0.0,0.0,,,1700000000.0,40000000.0,,1500000000.0,-9.0,0.0,0.0,0.0,25.0,10.0,50.0,3800000000.0,0.0,0.0
599526.0,10357.0,,,,,1.0,,100.0,9000000000.0,0.0,0.0,0.0,100000000.0,,1000000000.0,180000000.0,,5000000000.0,250000000.0,0.0,0.0,0.0,10.0,50.0,0.0,9000000000.0,0.0,0.0
599527.0,10358.0,,,,,2.0,,85.0,72000000000.0,0.0,0.0,120000000.0,50000000.0,,-9.0,-9.0,-9.0,,,0.0,0.0,120000000.0,36.0,100.0,60.0,61200000000.0,120000000.0,120000000.0
599531.0,10380.0,,,,,2.0,,50.0,18000000000.0,0.0,1.0,0.0,,,660000000.0,9000000.0,-9.0,,,0.0,0.0,0.0,19.0,0.0,10.0,9000000000.0,0.0,0.0
599532.0,10392.0,,,,,1.0,,100.0,250000000000.0,0.0,0.0,0.0,3600000000.0,,12000000000.0,480000000.0,,150000000.0,-9.0,0.0,0.0,0.0,135.0,0.0,0.0,250000000000.0,0.0,0.0
599533.0,10406.0,,,,,2.0,,70.0,3000000000.0,2.0,0.0,0.0,,,800000000.0,60000000.0,,900000000.0,-9.0,0.0,0.0,0.0,20.0,20.0,10.0,2100000000.0,0.0,0.0
599534.0,10407.0,,,,,1.0,,99.0,9000000000.0,0.0,0.0,0.0,132000000.0,,3600000000.0,420000000.0,,3200000000.0,100000000.0,3200000000.0,1000000000.0,0.0,17.0,70.0,100.0,8910000000.0,4200000000.0,2940000000.0
599535.0,10408.0,,,,,1.0,60000000.0,99.0,45000000000.0,0.0,0.0,0.0,1800000000.0,,10000000000.0,2000000000.0,,20000000000.0,7000000000.0,0.0,0.0,0.0,130.0,100.0,100.0,44550000000.0,0.0,0.0
599536.0,10415.0,,,,,2.0,,6.0,14000000000.0,2.0,3.0,10000000.0,,,1000000000.0,30000000.0,10000000000.0,,,1200000000.0,10000000000.0,10000000.0,18.0,7.0,15.0,840000000.0,11210000000.0,784700000.0000001
599537.0,10417.0,,,,,1.0,,100.0,352900000000.0,0.0,0.0,0.0,,,200000000000.0,500000000.0,,280000000000.0,100000000.0,0.0,0.0,0.0,2000.0,40.0,50.0,352900000000.0,0.0,0.0
599540.0,10422.0,,,,,1.0,,80.0,100000000000.0,0.0,0.0,0.0,,,200000000.0,50000000.0,-9.0,,,0.0,0.0,0.0,10.0,0.0,0.0,80000000000.0,0.0,0.0
599546.0,10432.0,,,,,2.0,,100.0,50000000000.0,0.0,0.0,0.0,,,100000000.0,20000000.0,-9.0,,,0.0,0.0,0.0,21.0,50.0,50.0,50000000000.0,0.0,0.0
599550.0,10445.0,,,,,3.0,,70.0,10000000000.0,0.0,0.0,0.0,,20000000.0,2000000000.0,-9.0,-9.0,,,800000000.0,0.0,0.0,20.0,70.0,60.0,7000000000.0,800000000.0,560000000.0
599551.0,10449.0,,,,,1.0,,70.0,45620000000.0,0.0,0.0,0.0,,,100000000.0,50000000.0,39900000000.0,,,0.0,0.0,0.0,10.0,50.0,50.0,31934000000.0,0.0,0.0
599553.0,10454.0,,,,,2.0,,80.0,80000000000.0,0.0,0.0,0.0,,,70000000.0,50000000.0,-9.0,,,0.0,0.0,0.0,20.0,50.0,50.0,64000000000.0,0.0,0.0
599554.0,10456.0,,,,,1.0,,100.0,500200000000.0,0.0,0.0,30000000.0,,,300000000.0,200000000.0,495000000000.0,,,0.0,0.0,30000000.0,30.0,50.0,50.0,500200000000.0,30000000.0,15000000.0
599555.0,10468.0,,,,,1.0,,100.0,44770000000.0,0.0,10.0,0.0,,,4850000000.0,470000000.0,,28550000000.0,880000000.0,0.0,0.0,0.0,15.0,50.0,50.0,44770000000.0,0.0,0.0
599559.0,10481.0,,,,,1.0,,100.0,70000000000.0,0.0,0.0,0.0,,,600000000.0,30000000000.0,-9.0,,,0.0,0.0,0.0,14.0,0.0,0.0,70000000000.0,0.0,0.0
599562.0,10493.0,,,,,1.0,,70.0,80000000000.0,0.0,1.0,0.0,,,1000000000.0,200000000.0,,60000000000.0,200000000.0,0.0,0.0,0.0,18.0,50.0,50.0,56000000000.0,0.0,0.0
599564.0,10497.0,,,,,1.0,,70.0,70000000000.0,0.0,0.0,0.0,1200000000.0,,4500000000.0,144000000.0,-9.0,,,0.0,0.0,0.0,35.0,70.0,30.0,49000000000.0,0.0,0.0
