_2015_h8,idstd2005,_2005_q86a10,_2005_q86a6,n5b,d1a3,l1,id2015,n2f,k2c,d2,d10,_2005_q86a9,n2i,_2005_q86a11,idstd2015,i2b,k1c,_2005_q86a1,_2005_q86a5,id2005,_2005_q86a3,n2e,idstd2009,_2005_q86a4,a6a,_2005_q86a8,id2009,i4b,n2a,_2005_q87d,d11,c9b,n5a,n2b,_2005_q87a,main_activity_sales,total_purchases_2015,purchased_on_credit
0.0,60775.0,,,0.0,100.0,323.0,,60000000.0,100.0,27500000000.0,0.0,,,,599613.0,54000000.0,100.0,,,,,18000000000.0,466100.0,,3.0,,4.0,,2900000000.0,,0.0,,200000000.0,280000000.0,,27500000000.0,200000000.0,200000000.0
0.0,,,,0.0,100.0,180.0,10697.0,1200000000.0,30.0,623000000000.0,1.0,,,,599613.0,,30.0,,,,,586000000000.0,,,3.0,,,,6800000000.0,,1.0,,0.0,900000000.0,,623000000000.0,0.0,0.0
0.0,60785.0,,,0.0,80.0,290.0,,450000.0,30.0,90000000000.0,0.0,,,,599614.0,600000000.0,98.0,,,,,6390000000.0,466101.0,,3.0,,6.0,,9900000000.0,,0.0,,0.0,1170000000.0,,72000000000.0,0.0,0.0
1200000000.0,,,,0.0,95.0,140.0,10698.0,800000000.0,80.0,98000000000.0,0.0,,,,599614.0,1000000000.0,80.0,,,,,35000000000.0,,,3.0,,,,11000000000.0,,0.0,,2500000000.0,1200000000.0,,93100000000.0,3700000000.0,2960000000.0
0.0,60782.0,,,0.0,70.0,65.0,,0.0,90.0,150000000000.0,0.0,,,,599615.0,40000000.0,60.0,,,,,132000000000.0,466103.0,,2.0,,11.0,,2700000000.0,,0.0,,1000000000.0,150000000.0,,105000000000.0,1000000000.0,600000000.0
10000000.0,,,,0.0,6.0,50.0,10700.0,,80.0,40000000000.0,0.0,,8500000000.0,,599615.0,72000000.0,0.0,,,,,,,,2.0,,,,4500000000.0,,0.0,,200000000.0,2000000000.0,,2400000000.0,210000000.0,0.0
0.0,60274.0,,,4200000000.0,100.0,60.0,,300000000.0,100.0,35000000000.0,0.0,,,,599616.0,90000000.0,100.0,,,,,25000000000.0,466105.0,,2.0,,17.0,,1400000000.0,,0.0,,3000000000.0,100000000.0,,35000000000.0,7200000000.0,7200000000.0
1000000000.0,,,,0.0,100.0,110.0,10702.0,2000000000.0,100.0,63000000000.0,0.0,,,,599616.0,3500000000.0,90.0,,,,,37000000000.0,,,2.0,,,,8000000000.0,,0.0,,8000000000.0,1400000000.0,,63000000000.0,9000000000.0,8100000000.0
0.0,60016.0,,,10000000000.0,70.0,100.0,,100000000.0,100.0,10000000000.0,0.0,,,,599617.0,,100.0,,,,,7000000000.0,466108.0,,3.0,,22.0,,825000000.0,,0.0,,500000000.0,500000000.0,,7000000000.0,10500000000.0,10500000000.0
100000000.0,,,,0.0,80.0,60.0,10705.0,-9.0,20.0,10000000000.0,0.0,,,,599617.0,200000000.0,0.0,,,,,4000000000.0,,,3.0,,,,4000000000.0,,0.0,,0.0,500000000.0,,8000000000.0,100000000.0,0.0
0.0,60428.0,,,0.0,100.0,60.0,,0.0,0.0,12000000000.0,0.0,,,,599619.0,8000000000.0,100.0,,,,,7000000000.0,466124.0,,2.0,,64.0,,400000000.0,,0.0,100000000.0,300000000.0,1000000000.0,,12000000000.0,300000000.0,300000000.0
0.0,,,,0.0,100.0,72.0,10721.0,880000000.0,50.0,225400000000.0,1.0,,,,599619.0,,50.0,,,,,101600000000.0,,,2.0,,,,4465000000.0,,1.0,,0.0,623000000.0,,225400000000.0,0.0,0.0
0.0,60459.0,,,5000000000.0,100.0,500.0,,0.0,80.0,17000000000.0,-9.0,,,,599620.0,50000000.0,70.0,,,,,8000000000.0,466127.0,,3.0,,69.0,,4000000000.0,,-9.0,,2000000000.0,150000000.0,,17000000000.0,7000000000.0,4900000000.0
75000000.0,,,,0.0,70.0,311.0,10724.0,5000000000.0,0.0,25000000000.0,-7.0,,,,599620.0,500000000.0,100.0,,,,,12500000000.0,,,3.0,,,,7500000000.0,,0.0,,10000000000.0,360000000.0,,17500000000.0,10075000000.0,10075000000.0
0.0,60231.0,,,0.0,60.0,650.0,,3500000000.0,20.0,50000000000.0,0.0,,,,599622.0,120000000.0,20.0,,,,,17000000000.0,466129.0,,3.0,,72.0,,15000000000.0,,5.0,,25000000000.0,3000000000.0,,30000000000.0,25000000000.0,5000000000.0
0.0,,,,0.0,70.0,300.0,10726.0,-9.0,0.0,70000000000.0,0.0,,,,599622.0,300000000.0,-9.0,,,,,-9.0,,,3.0,,,,15000000000.0,,0.0,,0.0,3000000000.0,,49000000000.0,0.0,-0.0
0.0,60234.0,,,0.0,58.0,151.0,,,40.0,234000000000.0,0.0,,,,599623.0,120000000.0,5.0,,,,,,466130.0,,3.0,,75.0,,24000000000.0,,0.0,,4800000000.0,,,135720000000.0,4800000000.0,240000000.0
0.0,,,,0.0,70.0,131.0,10727.0,,30.0,100000000000.0,0.0,,70000000000.0,,599623.0,,30.0,,,,,,,,3.0,,,,14000000000.0,,0.0,,500000000.0,100000000.0,,70000000000.0,500000000.0,150000000.0
0.0,60784.0,,,0.0,100.0,87.0,,0.0,100.0,8500000000.0,0.0,,,,599626.0,50000000.0,100.0,,,,,8000000000.0,466136.0,,3.0,,89.0,,2700000000.0,,0.0,,0.0,98000000.0,,8500000000.0,0.0,0.0
10000000.0,,,,0.0,40.0,65.0,10733.0,80000000.0,70.0,6000000000.0,0.0,,,,599626.0,,80.0,,,,,2000000000.0,,,2.0,,,,3600000000.0,,2.0,,400000000.0,72000000.0,,2400000000.0,410000000.0,328000000.0
0.0,60431.0,,,15000000000.0,60.0,350.0,,560000000.0,70.0,239000000000.0,0.0,,,,599627.0,700000000.0,20.0,,,,,180000000000.0,466137.0,,3.0,,90.0,,15000000000.0,,0.0,,15000000000.0,1000000000.0,,143400000000.0,30000000000.0,6000000000.0
700000000.0,,,,500000000.0,70.0,350.0,10734.0,10000000000.0,80.0,350000000000.0,1.0,,,,599627.0,500000000.0,60.0,,,,,250000000000.0,,,3.0,,,350000000.0,45000000000.0,,1.0,,30000000000.0,600000000.0,,245000000000.0,31200000000.0,18720000000.0
0.0,60021.0,,,0.0,50.0,200.0,,0.0,70.0,27000000000.0,0.0,,,,599628.0,,100.0,,,,,7000000000.0,466139.0,,3.0,,92.0,,6500000000.0,,0.0,600000000.0,300000000.0,1600000000.0,,13500000000.0,300000000.0,300000000.0
300000000.0,,,,-9.0,70.0,120.0,10736.0,750000000.0,80.0,25000000000.0,0.0,,,,599628.0,400000000.0,20.0,,,,,3000000000.0,,,3.0,,,,6500000000.0,,0.0,,400000000.0,840000000.0,,17500000000.0,699999991.0,139999998.20000002
0.0,60020.0,,,0.0,95.0,1100.0,,0.0,25.0,340000000000.0,0.0,,,,599629.0,,25.0,,,,,-8.0,466140.0,,3.0,,93.0,,30000000000.0,,0.0,,10000000000.0,-9.0,,323000000000.0,10000000000.0,2500000000.0
550000000.0,,,,570000000.0,100.0,705.0,10737.0,21000000000.0,70.0,310000000000.0,0.0,,,,599629.0,650000000.0,0.0,,,,,232900000000.0,,,3.0,,,,65100000000.0,,0.0,,1200000000.0,900000000.0,,310000000000.0,2320000000.0,0.0
0.0,,,,0.0,100.0,130.0,10740.0,600000000.0,100.0,9500000000.0,0.0,,,,599630.0,,100.0,,,,,-9.0,,,3.0,,,,-9.0,,0.0,,0.0,2000000000.0,,9500000000.0,0.0,0.0
